,id,name,cumulative,pct
129,5696,"EcalRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",0.24,0.0
130,5697,"EleIsoDetIdCollectionProducer::produce(edm::Event&, edm::EventSetup const&)",0.24,0.0
131,5698,"sistrip::RawToDigiModule::produce(edm::Event&, edm::EventSetup const&)",0.24,0.0
132,5780,"TICLSeedingRegionProducer::produce(edm::Event&, edm::EventSetup const&)",0.23,0.0
133,6023,"HFPhase1Reconstructor::produce(edm::Event&, edm::EventSetup const&)",0.21,0.0
134,6022,"HcalRawToDigi::produce(edm::Event&, edm::EventSetup const&)",0.21,0.0
135,6024,"edm::FwdPtrProducer<reco::PFCandidate, reco::PFCandidateFwdPtrFactory>::produce(edm::Event&, edm::EventSetup const&)",0.21,0.0
136,6191,"RecoTauPiZeroProducer::produce(edm::Event&, edm::EventSetup const&)",0.195,0.0
137,6409,"MuonShowerInformationProducer::produce(edm::Event&, edm::EventSetup const&)",0.175,0.0
138,6514,"reco::GlobalHaloDataProducer::produce(edm::Event&, edm::EventSetup const&)",0.165,0.0
139,6778,"EcalDetailedTimeRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",0.145,0.0
140,6777,"HFPreReconstructor::produce(edm::Event&, edm::EventSetup const&)",0.145,0.0
141,7009,"MuonToTrackingParticleAssociatorEDProducer::produce(edm::Event&, edm::EventSetup const&)",0.13,0.0
142,7088,"GEMSegmentProducer::produce(edm::Event&, edm::EventSetup const&)",0.125,0.0
143,7090,"MeasurementTrackerEventProducer::produce(edm::Event&, edm::EventSetup const&)",0.125,0.0
144,7089,"OutsideInMuonSeeder::produce(edm::Event&, edm::EventSetup const&)",0.125,0.0
145,7419,"InterestingTrackEcalDetIdProducer::produce(edm::Event&, edm::EventSetup const&)",0.105,0.0
146,7859,"DTRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",0.085,0.0
147,7860,"DeepCMVATagInfoProducer::produce(edm::Event&, edm::EventSetup const&)",0.085,0.0
148,8006,"SoftPFElectronTagInfoProducer::produce(edm::Event&, edm::EventSetup const&)",0.08,0.0
149,8171,"EgammaSCCorrectionMaker::produce(edm::Event&, edm::EventSetup const&)",0.075,0.0
150,8172,"ElectronIDExternalProducer<ElectronIDSelectorCutBased>::produce(edm::Event&, edm::EventSetup const&)",0.075,0.0
151,8173,"JetPlusTrackAddonSeedProducer::produce(edm::Event&, edm::EventSetup const&)",0.075,0.0
152,8524,"DeDxHitInfoProducer::produce(edm::Event&, edm::EventSetup const&)",0.065,0.0
153,8523,"EcalDigiSelector::produce(edm::Event&, edm::EventSetup const&)",0.065,0.0
154,8525,"JetTracksAssociatorExplicit::produce(edm::Event&, edm::EventSetup const&)",0.065,0.0
155,8772,"CosmicMuonSeedGenerator::produce(edm::Event&, edm::EventSetup const&)",0.06,0.0
156,8771,"JetExtender::produce(edm::Event&, edm::EventSetup const&)",0.06,0.0
157,8997,"PFTauTransverseImpactParameters::produce(edm::Event&, edm::EventSetup const&)",0.055,0.0
158,8996,"RecoTauPiZeroUnembedder::produce(edm::Event&, edm::EventSetup const&)",0.055,0.0
159,8998,"edm::service::MessageLogger::unEstablishModule(edm::ModuleCallingContext const&, char const*)",0.055,0.0
160,8004,edm::ModuleCallingContext::getStreamContext() const,0.08,0.0
161,9251,"MuonSeedGenerator::produce(edm::Event&, edm::EventSetup const&)",0.05,0.0
162,9253,"MuonSelectionTypeValueMapProducer::produce(edm::Event&, edm::EventSetup const&)",0.05,0.0
163,9252,"PFConversionProducer::produce(edm::Event&, edm::EventSetup const&)",0.05,0.0
